block_number,tx_hash,from_address,to_address,value_token,timestamp,wallet_label,token_contract,token_symbol,event_type,call_type
20417618,0x5c51a5416f4373a75beadccb09db8b726f87894ffe89435d993cd3874f748986,0x444cc545401be81743ea2c9ec1daf09942cef0ad,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,500000000.0,2024-07-30 06:33:35,TopHolder #100,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,ELON,Transfer,Contract Call
20417620,0x3ebeff8033f6c5e497846b8e5ec95a6d51fb20ab60cd5dbbba7fa527bfd4074c,0x444cc545401be81743ea2c9ec1daf09942cef0ad,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,506725522958.82666,2024-07-30 06:33:59,TopHolder #100,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,ELON,Transfer,Contract Call
20417622,0x48eeea4d994ea3c7127d27eb197c6c8462c87c2e8d76e22b294147c912bee708,0x444cc545401be81743ea2c9ec1daf09942cef0ad,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,5000000.0,2024-07-30 06:34:23,TopHolder #100,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,Transfer,Contract Call
20417625,0x8382a121aaee430c9883d8ac3cb0c463efc43f0755203790b8eeb54596d9a089,0x444cc545401be81743ea2c9ec1daf09942cef0ad,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,49995000000.667046,2024-07-30 06:34:59,TopHolder #100,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,Transfer,Contract Call
21015740,0x298faafaa9541a5e801827ba258872d00f95bbc90672a747986ae0714d7e5f8b,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,0xc874ca348dccf93238017ef57565dbca85074485,5000000000.0,2024-10-21 18:26:23,TopHolder #100,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,SHIB,Transfer,Contract Call
21548904,0xa6337ddd937287600536fed1949043963fb123e09098733ee88555b3e8f17a6e,0xea81e6f7604132f7ad82bb30bdd2e50b4ae41224,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,88843600000.0,2025-01-04 05:03:59,TopHolder #100,0x7d7a2e2be73787493570d6f1e6fa69072d3ddae0,ZEREBRO AI,Transfer,Contract Call
21570753,0x5d3e826228801dc696dfc691614759704022d81b5b63dca2393a51115c242f7b,0x480e1fdd7a55eaae1a80897b09a2e6051ad303b8,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,95332500000.0,2025-01-07 06:18:23,TopHolder #100,0xb44271ca582f8aba085804c35e559f743e4d99ba,DGE,Transfer,Contract Call
21585428,0xde25e42e061aad34e5400c074fcaebf0927cb2ce6a22739de18a3d51615510eb,0x14d46f558f6e62a1b3f525adcc5246cc33daa3ac,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,14973600000.0,2025-01-09 07:27:35,TopHolder #100,0x90756da2b3e6ffdf6e4ad3d89ef60c5449f8772e,Swarms AI,Transfer,Contract Call
21598870,0x83d2eda0435b09f4e905d71b8aa8017b1c3f81e2a3def4bf043fd5fc014a17dc,0x5ba12ba97106b1ed3dbd6b2e866ff9d1d02227a2,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,2829900000000.0,2025-01-11 04:31:11,TopHolder #100,0x00f00ab579e16bb2b6774487abbc16d98b2ab648,pippin,Transfer,Contract Call
21599049,0x1bc173a43ef53816d815ec5d9d30efdb4f0dd0ef093bebcd73dbf27133e20069,0x897d76cc21ec749fc238df2cdc7e5cc97b1a26de,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,6685900000000000.0,2025-01-11 05:07:11,TopHolder #100,0x1f186de364a56e741fcb188d37a393d409d08aea,AERO,Transfer,Contract Call
21599064,0xdeb88a85762edc1def54b5a903defea5442c0fcc42b4f5039a5677e88c08534f,0x5ba12ba97106b1ed3dbd6b2e866ff9d1d02227a2,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,2829900000000.0,2025-01-11 05:10:23,TopHolder #100,0x00f00ab579e16bb2b6774487abbc16d98b2ab648,pippin,Transfer,Contract Call
21599112,0xf3c2dc8f2131dbebed44c618f0674a91474808d269109ceb783f94a0147d111e,0x925f82a829b9b67f320d032202390241bab256c9,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,95730000000000.02,2025-01-11 05:20:11,TopHolder #100,0x4d57c67c8bab0fb3a0a0a35b904fbff4e5450521,NVIDIA AI,Transfer,Contract Call
21608574,0x28eee8549466556a6061517c2d5a555547dc8bbd36c82937703127a79e61e071,0x49a9a791405f15917c16b4e3c2d1a330400ba70b,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,9640130000.0,2025-01-12 13:00:59,TopHolder #100,0xccb1a64d375780fe375ee6d7912a205e45932d27,TRUE AI,Transfer,Contract Call
21612469,0xf62de19c62a79b780002aa526e1b14a1d33ee23f02dd6b2d57569b5622165b4e,0x722441ac3510a10923218cf379c63623ce61e549,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,99974900000.0,2025-01-13 02:04:35,TopHolder #100,0xe51f8e2f6e4a952a3503d8be34f1f3931198590b,LEADER,Transfer,Contract Call
21613044,0xef507074b6fc49a65053eaf1adc30a4d15f188844465e2d6fbfa216e4f54d59d,0x722441ac3510a10923218cf379c63623ce61e549,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,9149980000.0,2025-01-13 04:00:35,TopHolder #100,0xe51f8e2f6e4a952a3503d8be34f1f3931198590b,LEADER,Transfer,Contract Call
21613282,0x6f574ec8dd000806b60c84c831c2e4fcc330371815e7b661469be2d363655c0e,0xa3b242792868ab189d8b44c823b12f77010f9fb4,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,100000000000.0,2025-01-13 04:48:35,TopHolder #100,0x07d739f025f816a56388f01d566f8e08e6c80651,FISH AI,Transfer,Contract Call
21613884,0xc5338115d16097d720e51ffa12b45089617315e5d75e8e11cdc7377f1f9fa4ac,0x4176d5c7b8743fd8e764cd3759c7ae7098eb13a7,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,22513264531.264534,2025-01-13 06:50:11,TopHolder #100,0x5be480aa056ec274e5ae970d7a75df0c9620f6f8,Fridon AI,Transfer,Contract Call
21627962,0xa076693d9f45e644a9643aadfd67c8cee3a79f98e73c2331c6fd38e3091d7155,0xc1a130046418c696323db90b2d15c225073cad83,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,989422000000.0,2025-01-15 06:01:23,TopHolder #100,0x64b13047b9ceab71157b0fc077293835c618a3ac,Howey Coins,Transfer,Contract Call
21686995,0xb8a0026de1bd845455a504db31569ab6e71e8d8bfe62e1403e53000705791c62,0x1a922c0bbbc2679fc8ff6194c02b4053a4063304,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,34566543.45676543,2025-01-23 11:49:11,TopHolder #100,0x6138eb27a86cfa6a8d2a842d28eb7d05d94165a7,Trump,Transfer,Contract Call
21778845,0xaebe88ee8ee7742f1f49f4a66a1bf3c4c92160f89525037692a77f94001d508e,0x21bcc57a13a54ece5cf1125bf7454f77d91c2d90,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,575810000000.0,2025-02-05 07:37:23,TopHolder #100,0x9032a3f5d809b659f861645b28a9db68cbf94519,newyear coin,Transfer,Contract Call
21791583,0xbce8dcdb3a4f19babd7d777930e04d7502fde03fc78365d69306fb3310d70ab9,0x4e7ecaa752522f4bf0545a0f6850154539f66269,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,98577200000.0,2025-02-07 02:15:35,TopHolder #100,0xdc84c5c25e4db37964b9f61f665caa3a2c5e8569,somebody,Transfer,Contract Call
21929337,0xa8ce5766ccf9fdf65a4ba35074c1ac0965fcc711c5dd93924ed79241dd3c3355,0xfee784fa37c4eb098bdb7c5d06ff06b460e0c825,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,40125800000.0,2025-02-26 08:33:23,TopHolder #100,0x874c770493450c34ccc7e903664ef1d65b01880b,Crazy Ai,Transfer,Contract Call
21982842,0x75a5c36ff3da54e95bdc19661db4a5025b931a4f60f19a284cc9a4b4339d667f,0xcc8ce3206449a16c4ec3a822d4e1cbc8951d2a7b,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,124264000000.0,2025-03-05 19:41:59,TopHolder #100,0x75798d13ec860dbd227dab29724997ec88dd8131,Interesting,Transfer,Contract Call
22031509,0xb0cdf4325b4e913beb4c060859cef0ecfa5a287e7e15594308d838a8dfc1ba59,0xf70fdf0b14d8d9b4bac7ff549f0cabc987c1e01c,0xf2bf81a13a3e76c9615fdd7bf20e3bd4cffb50c5,46515650.365979895,2025-03-12 14:53:23,TopHolder #100,0xf111118d62b23be6efd6505ff308db768f7086dc,BABYUNO,Transfer,Contract Call
