[19:57:30] | INFO | [TopHolder #001] Загружено: 10000 записей
[19:57:50] | INFO | [TopHolder #002] Загружено: 10000 записей
[19:58:45] | INFO | [TopHolder #003] Загружено: 10000 записей
[19:59:17] | INFO | [TopHolder #004] Загружено: 10000 записей
[19:59:21] | INFO | [TopHolder #005] Загружено: 434 записей
[19:59:42] | INFO | [TopHolder #006] Загружено: 10000 записей
[19:59:47] | INFO | [TopHolder #007] Загружено: 1911 записей
[20:00:05] | INFO | [TopHolder #008] Загружено: 10000 записей
[20:00:51] | INFO | [TopHolder #009] Загружено: 10000 записей
[20:01:20] | INFO | [TopHolder #010] Загружено: 10000 записей
[20:01:42] | INFO | [TopHolder #011] Загружено: 5569 записей
[20:02:39] | INFO | [TopHolder #012] Загружено: 10000 записей
[20:02:54] | INFO | [TopHolder #013] Загружено: 10000 записей
[20:03:02] | INFO | [TopHolder #014] Загружено: 2962 записей
[20:03:09] | INFO | [TopHolder #015] Загружено: 1666 записей
[20:03:10] | INFO | [TopHolder #016] Загружено: 15 записей
[20:03:13] | INFO | [TopHolder #017] Загружено: 15 записей
[20:03:15] | INFO | [TopHolder #018] Загружено: 15 записей
[20:03:17] | INFO | [TopHolder #019] Загружено: 15 записей
[20:03:20] | INFO | [TopHolder #020] Загружено: 15 записей
[20:03:21] | INFO | [TopHolder #021] Загружено: 15 записей
[20:03:23] | INFO | [TopHolder #022] Загружено: 15 записей
[20:03:25] | INFO | [TopHolder #023] Загружено: 15 записей
[20:04:02] | WARNING | [bold yellow]0x446b86a33e2a438f569b15855189e3da28d027ba[/] | Попытка 1/3 — HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out.
[20:04:52] | INFO | [TopHolder #024] Загружено: 9799 записей
[20:04:55] | INFO | [TopHolder #025] Загружено: 257 записей
[20:05:14] | INFO | [TopHolder #026] Загружено: 10000 записей
[20:06:06] | INFO | [TopHolder #027] Загружено: 10000 записей
[20:06:11] | INFO | [TopHolder #028] Загружено: 705 записей
[20:07:04] | INFO | [TopHolder #029] Загружено: 10000 записей
[20:07:10] | INFO | [TopHolder #030] Загружено: 1480 записей
[20:07:21] | INFO | [TopHolder #031] Загружено: 1251 записей
[20:07:23] | INFO | [TopHolder #032] Загружено: 33 записей
[20:08:10] | INFO | [TopHolder #033] Загружено: 8641 записей
[20:08:12] | INFO | [TopHolder #034] Загружено: 27 записей
[20:09:06] | INFO | [TopHolder #035] Загружено: 9297 записей
[20:09:25] | INFO | [TopHolder #036] Загружено: 10000 записей
[20:10:02] | INFO | [TopHolder #037] Загружено: 10000 записей
[20:10:52] | INFO | [TopHolder #038] Загружено: 10000 записей
[20:11:20] | INFO | [TopHolder #039] Загружено: 10000 записей
[20:11:38] | INFO | [TopHolder #040] Загружено: 10000 записей
[20:11:59] | INFO | [TopHolder #041] Загружено: 10000 записей
[20:12:18] | INFO | [TopHolder #042] Загружено: 3806 записей
[20:12:21] | INFO | [TopHolder #043] Загружено: 411 записей
[20:12:24] | INFO | [TopHolder #044] Загружено: 17 записей
[20:12:26] | INFO | [TopHolder #045] Загружено: 130 записей
[20:13:29] | INFO | [TopHolder #046] Загружено: 10000 записей
[20:13:38] | INFO | [TopHolder #047] Загружено: 586 записей
[20:13:41] | INFO | [TopHolder #048] Загружено: 190 записей
[20:13:43] | INFO | [TopHolder #049] Загружено: 272 записей
[20:13:47] | INFO | [TopHolder #050] Загружено: 461 записей
[20:13:48] | INFO | [TopHolder #051] Загружено: 15 записей
[20:13:49] | INFO | [TopHolder #052] Загружено: 12 записей
[20:13:50] | INFO | [TopHolder #053] Загружено: 35 записей
[20:13:55] | INFO | [TopHolder #054] Загружено: 17 записей
[20:14:28] | INFO | [TopHolder #055] Загружено: 10000 записей
[20:14:31] | INFO | [TopHolder #056] Загружено: 279 записей
[20:14:33] | INFO | [TopHolder #057] Загружено: 138 записей
[20:14:40] | INFO | [TopHolder #058] Загружено: 950 записей
[20:14:52] | INFO | [TopHolder #059] Загружено: 807 записей
[20:14:54] | INFO | [TopHolder #060] Загружено: 41 записей
[20:14:57] | INFO | [TopHolder #061] Загружено: 280 записей
[20:15:18] | INFO | [TopHolder #062] Загружено: 697 записей
[20:15:21] | INFO | [TopHolder #063] Загружено: 13 записей
[20:15:52] | INFO | [TopHolder #064] Загружено: 10000 записей
[20:16:13] | INFO | [TopHolder #065] Загружено: 657 записей
[20:16:15] | INFO | [TopHolder #066] Загружено: 12 записей
[20:16:21] | INFO | [TopHolder #067] Загружено: 1704 записей
[20:16:27] | INFO | [TopHolder #068] Загружено: 753 записей
[20:16:49] | INFO | [TopHolder #069] Загружено: 10000 записей
[20:16:56] | INFO | [TopHolder #070] Загружено: 1209 записей
[20:17:36] | WARNING | [bold yellow]0x6d7f81fd14dca44fe0fe97ba80fb0ef5cfc0e9f8[/] | Попытка 1/3 — HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out.
[20:18:16] | WARNING | [bold yellow]0x6d7f81fd14dca44fe0fe97ba80fb0ef5cfc0e9f8[/] | Попытка 2/3 — HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out.
[20:18:44] | INFO | [TopHolder #071] Загружено: 8798 записей
[20:18:46] | INFO | [TopHolder #072] Загружено: 17 записей
[20:18:59] | INFO | [TopHolder #073] Загружено: 3474 записей
[20:19:07] | INFO | [TopHolder #074] Загружено: 468 записей
[20:19:46] | INFO | [TopHolder #075] Загружено: 10000 записей
[20:19:48] | INFO | [TopHolder #076] Загружено: 149 записей
[20:19:49] | INFO | [TopHolder #077] Загружено: 36 записей
[20:20:02] | INFO | [TopHolder #078] Загружено: 697 записей
[20:20:22] | WARNING | [bold yellow]0xb09ac0f12b55ee5b2c0dd8c69a7b7fc1cae2dae1[/] | Попытка 1/3 — HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out. (read timeout=20)
[20:20:30] | INFO | [TopHolder #079] Загружено: 170 записей
[20:20:36] | INFO | [TopHolder #080] Загружено: 57 записей
[20:21:47] | INFO | [TopHolder #081] Загружено: 10000 записей
[20:21:51] | INFO | [TopHolder #082] Загружено: 144 записей
[20:23:30] | INFO | [TopHolder #083] Загружено: 10000 записей
[20:23:35] | INFO | [TopHolder #084] Загружено: 18 записей
[20:24:41] | INFO | [TopHolder #085] Загружено: 7690 записей
[20:25:24] | WARNING | [bold yellow]0x521aa1ba5819f24aeb9b968319788cd7c3325719[/] | Попытка 1/3 — HTTPSConnectionPool(host='api.etherscan.io', port=443): Read timed out.
[20:25:45] | INFO | [TopHolder #086] Загружено: 730 записей
[20:25:48] | INFO | [TopHolder #087] Загружено: 100 записей
[20:25:51] | INFO | [TopHolder #088] Загружено: 110 записей
[20:25:52] | INFO | [TopHolder #089] Загружено: 137 записей
[20:25:54] | INFO | [TopHolder #090] Загружено: 3 записей
[20:25:56] | INFO | [TopHolder #091] Загружено: 14 записей
[20:25:58] | INFO | [TopHolder #092] Загружено: 14 записей
[20:26:00] | INFO | [TopHolder #093] Загружено: 116 записей
[20:26:09] | INFO | [TopHolder #094] Загружено: 1582 записей
[20:26:31] | INFO | [TopHolder #095] Загружено: 351 записей
[20:26:57] | INFO | [TopHolder #096] Загружено: 10000 записей
[20:27:03] | INFO | [TopHolder #097] Загружено: 304 записей
[20:27:05] | INFO | [TopHolder #098] Загружено: 189 записей
[20:27:07] | INFO | [TopHolder #099] Загружено: 16 записей
[20:27:09] | INFO | [TopHolder #100] Загружено: 24 записей
[20:27:16] | ERROR | [Clustering] Ошибка: (psycopg2.errors.UndefinedTable) ОШИБКА:  отношение "wallets_meta" не существует
LINE 1: ...ss, first_tx, last_tx, tx_count, total_value FROM wallets_me...
                                                             ^

[SQL: SELECT address, first_tx, last_tx, tx_count, total_value FROM wallets_meta]
(Background on this error at: https://sqlalche.me/e/20/f405)
[20:27:17] | WARNING | [Whale Alerts] Колонка usd_value отсутствует
